,name,accuracy,class,game_desc,effect_chance,generation,machines,crit_rate,type,power,pp,priority
270,trick,100,status,"The user catches the target off guard
and swaps its held item with its own.","User and target permanently swap held items.  Works even if one of the Pokémon isn't holding anything.  If either Pokémon is holding mail, this move will fail.

If either Pokémon has multitype or sticky hold, this move will fail.

If this move results in a Pokémon obtaining choice band, choice scarf, or choice specs, and that Pokémon was the latter of the pair to move this turn, then the move it used this turn becomes its chosen forced move.  This applies even if both Pokémon had a choice item before this move was used.  If the first of the two Pokémon gains a choice item, it may select whatever choice move it wishes next turn.

Neither the user nor the target can recover its item with recycle.

This move cannot be selected by assist or metronome.",3,0,0,psychic,NA,10,0
271,role-play,NA,status,"The user mimics the target completely,
copying the target’s natural Ability.","User's ability is replaced with the target's until the user leaves the field.  Ignores accuracy and evasion modifiers.

If the target has flower gift, forecast, illusion, imposter, multitype, stance change, trace, wonder guard, or zen mode, this move will fail.

This move cannot be copied by mirror move.",3,NA,0,psychic,NA,10,0
272,wish,NA,status,"One turn after this move is used,
the target’s HP is restored by
half the user’s max HP.","At the end of the next turn, user will be healed for half its max HP.  If the user is switched out, its replacement will be healed instead for half of the user's max HP.  If the user faints or is forcefully switched by roar or whirlwind, this effect will not activate.",3,NA,0,normal,NA,10,0
273,assist,NA,status,"The user hurriedly and randomly
uses a move among those known
by other Pokémon in the party.","Uses a move from another Pokémon in the user's party, both selected at random.  Moves from fainted Pokémon can be used.  If there are no eligible Pokémon or moves, this move will fail.

This move will not select assist, chatter, circle throw, copycat, counter, covet, destiny bond, detect, dig, dive, dragon tail, endure, feint, fly focus punch, follow me, helping hand, me first, metronome, mimic, mirror coat, mirror move, phantom force protect, quick guard, roar shadow force, sketch, sleep talk, snatch, struggle, switcheroo, thief, trick, whirlwind, or wide guard.

This move cannot be copied by mirror move, nor selected by metronome or sleep talk.",3,NA,0,normal,NA,20,0
274,ingrain,NA,status,"The user lays roots that restore
its HP on every turn. Because it is
rooted, it can’t switch out.","Prevents the user from switching out.  User regains 1/16 of its max HP at the end of every turn.  If the user was immune to ground attacks, it will now take normal damage from them.

roar and whirlwind will not affect the user.  The user cannot use magnet rise.

The user may still use u turn to leave the field.

This effect can be passed with baton pass.",3,NA,0,grass,NA,20,0
275,superpower,100,physical,"The user attacks the target with great
power. However, this also lowers the
user’s Attack and Defense stats.","Inflicts regular damage, then lowers the user's Attack and Defense by one stage each.",3,tm49,0,fighting,120,5,0
276,magic-coat,NA,status,"A barrier reflects back to the target
moves like Leech Seed and moves
that damage status.","The first non-damaging move targeting the user this turn that inflicts major status effects, stat changes, or trapping effects will be reflected at its user.

defog, memento, and teeter dance are not reflected.

attract, flatter, gastro acid, leech seed, swagger, worry seed, and yawn are reflected.

This move cannot be copied by mirror move.",3,NA,0,psychic,NA,15,4
277,recycle,NA,status,"The user recycles a held item that
has been used in battle so it can be
used again.","User recovers the last item consumed by the user or a Pokémon in its position on the field.  The item must be used again before it can be recovered by this move again.  If the user is holding an item, this move fails.

Items taken or given away by covet, knock off, switcheroo, thief, or trick may not be recovered.",3,tm67,0,normal,NA,10,0
278,revenge,100,physical,"An attack move that inflicts double the
damage if the user has been hurt by the
opponent in the same turn.","Inflicts regular damage.  If the target damaged the user this turn and was the last to do so, this move has double power.

pain split does not count as damaging the user.",3,0,0,fighting,60,10,-4
279,brick-break,100,physical,"The user attacks with a swift chop. It
can also break barriers, such as Light
Screen and Reflect.","Destroys any light screen or reflect on the target's side of the field, then inflicts regular damage.",3,tm31,0,fighting,75,15,0
280,yawn,NA,status,"The user lets loose a huge yawn that
lulls the target into falling asleep
on the next turn.","Puts the target to sleep at the end of the next turn.  Ignores accuracy and evasion modifiers.  If the target leaves the field, this effect is canceled.  If the target has a status effect when this move is used, this move will fail.

If the target is protected by safeguard when this move is used, this move will fail.

insomnia and vital spirit prevent the sleep if the target has either at the end of the next turn, but will not cause this move to fail on use.",3,NA,0,normal,NA,10,0
281,knock-off,100,physical,"The user slaps down the target’s held item, and
that item can’t be used in that battle. The move
does more damage if the target has a held item.","Inflicts regular damage.  Target loses its held item.

Neither the user nor the target can recover its item with recycle.

If the target has multitype or sticky hold, it will take damage but not lose its item.",3,NA,0,dark,65,20,0
282,endeavor,100,physical,"An attack move that cuts down the
target’s HP to equal the user’s HP.","Inflicts exactly enough damage to lower the target's HP to equal the user's.  If the target's HP is not higher than the user's, this move has no effect.  Type immunity applies, but other type effects are ignored.  This effect counts as damage for moves that respond to damage.",3,NA,0,normal,NA,5,0
283,eruption,100,special,"The user attacks opposing Pokémon with
explosive fury. The lower the user’s HP,
the lower the move’s power.","Inflicts regular damage.  Power increases with the user's remaining HP and is given by `150 * HP / max HP`, to a maximum of 150 when the user has full HP.",3,NA,0,fire,150,5,0
284,skill-swap,NA,status,"The user employs its psychic power to
exchange Abilities with the target.","User and target switch abilities.  Ignores accuracy and evasion modifiers.

If either Pokémon has multitype or wonder guard, this move will fail.",3,tm48,0,psychic,NA,10,0
285,imprison,NA,status,"If opposing Pokémon know any move
also known by the user,
they are prevented from using it.","Prevents any Pokémon on the opposing side of the field from using any move the user knows until the user leaves the field.  This effect is live; if the user obtains new moves while on the field, these moves become restricted.  If no opposing Pokémon knows any of the user's moves when this move is used, this move will fail.",3,0,0,psychic,NA,10,0
286,refresh,NA,status,"The user rests to cure itself of a
poisoning, burn, or paralysis.","Removes a burn, paralysis, or poison from the user.",3,NA,0,normal,NA,20,0
287,grudge,NA,status,"If the user faints, the user’s grudge
fully depletes the PP of the opponent’s
move that knocked it out.","If the user faints before it next acts, the move that fainted it will have its PP dropped to 0.  End-of-turn damage does not trigger this effect.",3,NA,0,ghost,NA,5,0
288,snatch,NA,status,"The user steals the effects of any attempts
to use a healing or stat-changing move.","The next time a Pokémon uses a beneficial move on itself or itself and its ally this turn, the user of this move will steal the move and use it itself.  Moves which may be stolen by this move are identified by the ""snatchable"" flag.

If two Pokémon use this move on the same turn, the faster Pokémon will steal the first beneficial move, and the slower Pokémon will then steal it again—thus, only the slowest Pokémon using this move ultimately gains a stolen move's effect.

If the user steals psych up, it will target the Pokémon that used psych up.  If the user was the original target of psych up, and the Pokémon that originally used it's affected by pressure, it will only lose 1 PP.

This move cannot be copied by mirror move, nor selected by assist or metronome.",3,tm49,0,dark,NA,10,4
289,secret-power,100,physical,"An attack whose additional effects
depend upon where it was used.
Can also be used to make a Secret Base.","Inflicts regular damage.  Has a 30% chance to inflict an effect chosen according to the terrain.

Terrain        | Effect
-------------- | -------------------------------------------------------------
Building       | Paralyzes target
Cave           | Makes target flinch
Deep water     | Lowers target's Attack by one stage
Desert         | Lowers target's accuracy by one stage
Grass          | Puts target to sleep
Mountain       | Makes target flinch
Road           | Lowers target's accuracy by one stage
Shallow water  | Lowers target's Attack by one stage
Snow           | Freezes target
Tall grass     | Puts target to sleep

In Pokémon Battle Revolution:

Terrain        | Effect
-------------- | -------------------------------------------------------------
Courtyard      | Paralyzes target
Crystal        | Makes target flinch
Gateway        | Lowers target's Attack by one stage
Magma          | Makes target flinch
Main Street    | Paralyzes target
Neon           | Paralyzes target
Stargazer      | Makes target flinch
Sunny Park     | Puts target to sleep
Sunset         | Lowers target's accuracy by one stage
Waterfall      | Puts target to sleep
",3,tm94,0,normal,70,20,0
290,dive,100,physical,"Diving on the first turn, the user floats up
and attacks on the next turn.
It can be used to dive deep in the ocean.","Inflicts regular damage.  User dives underwater for one turn, becoming immune to attack, and hits on the second turn.

During the immune turn, surf, and whirlpool still hit the user normally, and their power is doubled if appropriate.

The user may be hit during its immune turn if under the effect of lock on, mind reader, or no guard.

This move cannot be selected by sleep talk.",3,hm08,0,water,80,10,0
291,arm-thrust,100,physical,"The user lets loose a flurry of open-palmed
arm thrusts that hit two to five times in
a row.","Inflicts regular damage.  Hits 2–5 times in one turn.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.",3,NA,0,fighting,15,20,0
292,camouflage,NA,status,"The user’s type is changed depending on
its environment, such as at water’s edge,
in grass, or in a cave.","User's type changes according to the terrain.

Terrain        | New type
-------------- | --------------
Building       | normal
Cave           | rock
Desert         | ground
Grass          | grass
Mountain       | rock
Ocean          | water
Pond           | water
Road           | ground
Snow           | ice
Tall grass     | grass

In Pokémon Battle Revolution:

Terrain        | New type
-------------- | --------------
Courtyard      | normal
Crystal        | rock
Gateway        | water
Magma          | rock
Main Street    | normal
Neon           | normal
Stargazer      | rock
Sunny Park     | grass
Sunset         | ground
Waterfall      | grass
",3,NA,0,normal,NA,20,0
293,tail-glow,NA,status,"The user stares at flashing lights to
focus its mind, drastically raising its
Sp. Atk stat.",Raises the user's Special Attack by three stages.,3,NA,0,bug,NA,20,0
294,luster-purge,100,special,"The user lets loose a damaging burst
of light. This may also lower the target’s
Sp. Def stat.",Inflicts regular damage.  Has a 50% chance to lower the target's Special Defense by one stage.,3,NA,0,psychic,70,5,0
295,mist-ball,100,special,"A mist-like flurry of down envelops and
damages the target. This may also lower
the target’s Sp. Atk stat.",Inflicts regular damage.  Has a 50% chance to lower the target's Special Attack by one stage.,3,NA,0,psychic,70,5,0
296,feather-dance,100,status,"The user covers the target’s body with a
mass of down that harshly lowers its
Attack stat.",Lowers the target's Attack by two stages.,3,NA,0,flying,NA,15,0
297,teeter-dance,100,status,"The user performs a wobbly dance that
confuses the Pokémon around it.",Confuses all targets.,3,NA,0,normal,NA,20,0
298,blaze-kick,90,physical,"The user launches a kick that lands a
critical hit more easily.
This may also leave the target with a burn.",Inflicts regular damage.  User's critical hit rate is one level higher when using this move. Has a 10% chance to burn the target.,3,0,1,fire,85,10,0
299,mud-sport,NA,status,"The user covers itself with mud.
This weakens Electric-type moves
for five turns.","electric moves inflict half damage, regardless of target.  If the user leaves the field, this effect ends.",3,NA,0,ground,NA,15,0
300,ice-ball,90,physical,"The user continually rolls into the target
over five turns. It becomes stronger
each time it hits.","Inflicts regular damage.  User is forced to use this move for five turns.  Power doubles every time this move is used in succession to a maximum of 16x, and resets to normal after the lock-in ends.  If this move misses or becomes unusable, the lock-in ends.

If the user has used defense curl since entering the field, this move has double power.",3,NA,0,ice,30,20,0
301,needle-arm,100,physical,"The user attacks by wildly swinging its
thorny arms. This may also make the
target flinch.",Inflicts regular damage.  Has a 30% chance to make the target flinch.,3,NA,0,grass,60,15,0
302,slack-off,NA,status,"The user slacks off, restoring its own HP
by up to half of its max HP.",Heals the user for half its max HP.,3,NA,0,normal,NA,10,0
303,hyper-voice,100,special,"The user lets loose a horribly echoing
shout with the power to inflict damage.",Inflicts regular damage.,3,0,0,normal,90,10,0
304,poison-fang,100,physical,"The user bites the target with toxic
fangs. This may also leave the target
badly poisoned.",Inflicts regular damage.  Has a 50% chance to badly poison the target.,3,NA,0,poison,50,15,0
305,crush-claw,95,physical,"The user slashes the target with hard
and sharp claws. This may also lower
the target’s Defense stat.",Inflicts regular damage.  Has a 50% chance to lower the target's Defense by one stage.,3,NA,0,normal,75,10,0
306,blast-burn,90,special,"The target is razed by a fiery explosion.
The user can’t move on the next turn.","Inflicts regular damage.  User loses its next turn to ""recharge"", and cannot attack or switch out during that turn.",3,NA,0,fire,150,5,0
307,hydro-cannon,90,special,"The target is hit with a watery blast.
The user can’t move on the next turn.","Inflicts regular damage.  User loses its next turn to ""recharge"", and cannot attack or switch out during that turn.",3,NA,0,water,150,5,0
308,meteor-mash,90,physical,"The target is hit with a hard punch fired
like a meteor. This may also raise
the user’s Attack stat.",Inflicts regular damage. Has a 20% chance to raise the user's Attack one stage.,3,NA,0,steel,90,10,0
309,astonish,100,physical,"The user attacks the target while shouting
in a startling fashion.
This may also make the target flinch.",Inflicts regular damage.  Has a 30% chance to make the target flinch.,3,NA,0,ghost,30,15,0
310,weather-ball,100,special,"An attack move that varies in power and
type depending on the weather.","Inflicts regular damage.  If a weather move is active, this move has double power, and its type becomes the type of the weather move.  shadow sky is typeless for the purposes of this move.",3,0,0,normal,50,10,0
311,aromatherapy,NA,status,"The user releases a soothing scent that
heals all status conditions affecting
the user’s party.",Removes major status effects and confusion from every Pokémon in the user's party.,3,NA,0,grass,NA,5,0
312,fake-tears,100,status,"The user feigns crying to fluster
the target, harshly lowering its
Sp. Def stat.",Lowers the target's Special Defense by two stages.,3,0,0,dark,NA,20,0
313,air-cutter,95,special,"The user launches razor-like wind
to slash the opposing Pokémon.
Critical hits land more easily.",Inflicts regular damage.  User's critical hit rate is one level higher when using this move.,3,NA,1,flying,60,25,0
314,overheat,90,special,"The user attacks the target at full power.
The attack’s recoil harshly lowers the
user’s Sp. Atk stat.","Inflicts regular damage, then lowers the user's Special Attack by two stages.",3,tm50,0,fire,130,5,0
315,odor-sleuth,NA,status,"Enables a Ghost-type target to be hit by
Normal- and Fighting-type attacks. This also
enables an evasive target to be hit.",Resets the target's evasion to normal and prevents any further boosting until the target leaves the field.  A ghost under this effect takes normal damage from normal and fighting moves.  This move itself ignores accuracy and evasion modifiers.,3,NA,0,normal,NA,40,0
316,rock-tomb,95,physical,"Boulders are hurled at the target. This also
lowers the target’s Speed stat by preventing
its movement.",Inflicts regular damage.  Has a 100% chance to lower the target's Speed by one stage.,3,tm39,0,rock,60,15,0
317,silver-wind,100,special,"The target is attacked with powdery
scales blown by wind.
This may also raise all the user’s stats.",Inflicts regular damage. Has a 10% chance to raise all of the user's stats one stage.,3,tm62,0,bug,60,5,0
318,metal-sound,85,status,"A horrible sound like scraping metal
harshly lowers the target’s
Sp. Def stat.",Lowers the target's Special Defense by two stages.,3,NA,0,steel,NA,40,0
319,grass-whistle,55,status,"The user plays a pleasant melody that
lulls the target into a deep sleep.",Puts the target to sleep.,3,NA,0,grass,NA,15,0
320,tickle,100,status,"The user tickles the target into laughing,
reducing its Attack and Defense stats.",Lowers the target's Attack and Defense by one stage.,3,NA,0,normal,NA,20,0
321,cosmic-power,NA,status,"The user absorbs a mystical power from
space to raise its Defense and
Sp. Def stats.",Raises the user's Defense and Special Defense by one stage.,3,0,0,psychic,NA,20,0
322,water-spout,100,special,"The user spouts water to damage opposing
Pokémon. The lower the user’s HP,
the lower the move’s power.","Inflicts regular damage.  Power increases with the user's remaining HP and is given by `150 * HP / max HP`, to a maximum of 150 when the user has full HP.",3,NA,0,water,150,5,0
323,signal-beam,100,special,"The user attacks with a sinister beam of
light. This may also confuse the target.",Inflicts regular damage.  Has a 10% chance to confuse the target.,3,NA,0,bug,75,15,0
324,shadow-punch,NA,physical,"The user throws a punch from the shadows.
This attack never misses.",Inflicts regular damage.  Ignores accuracy and evasion modifiers.,3,NA,0,ghost,60,20,0
325,extrasensory,100,special,"The user attacks with an odd,
unseeable power.
This may also make the target flinch.",Inflicts regular damage.  Has a 10% chance to make the target flinch.,3,NA,0,psychic,80,20,0
326,sky-uppercut,90,physical,"The user attacks the target with an
uppercut thrown skyward with force.","Inflicts regular damage.

This move can hit Pokémon under the effect of bounce, fly, or sky drop.",3,NA,0,fighting,85,15,0
327,sand-tomb,85,physical,"The user traps the target inside a harshly
raging sandstorm for four to five turns.","Inflicts regular damage.  For the next 2–5 turns, the target cannot leave the field and is damaged for 1/16 its max HP at the end of each turn.  The user continues to use other moves during this time.  If the user leaves the field, this effect ends.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.

rapid spin cancels this effect.",3,0,0,ground,35,15,0
328,sheer-cold,30,special,"The target is attacked with a blast of
absolute-zero cold. The target faints
instantly if this attack hits.","Inflicts damage equal to the target's max HP.  Ignores accuracy and evasion modifiers.  This move's accuracy is 30% plus 1% for each level the user is higher than the target.  If the user is a lower level than the target, this move will fail.

Because this move inflicts a specific and finite amount of damage, endure still prevents the target from fainting.

The effects of lock on, mind reader, and no guard still apply, as long as the user is equal or higher level than the target.  However, they will not give this move a chance to break through detect or protect.",3,NA,0,ice,NA,5,0
329,muddy-water,85,special,"The user attacks by shooting muddy water
at the opposing Pokémon.
This may also lower their accuracy.",Inflicts regular damage.  Has a 30% chance to lower the target's accuracy by one stage.,3,0,0,water,90,10,0
330,bullet-seed,100,physical,"The user forcefully shoots seeds at the
target two to five times in a row.","Inflicts regular damage.  Hits 2–5 times in one turn.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.",3,tm09,0,grass,25,30,0
331,aerial-ace,NA,physical,"The user confounds the target with speed,
then slashes.
This attack never misses.",Inflicts regular damage.  Ignores accuracy and evasion modifiers.,3,tm40,0,flying,60,20,0
332,icicle-spear,100,physical,"The user launches sharp icicles at the
target two to five times in a row.","Inflicts regular damage.  Hits 2–5 times in one turn.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.",3,0,0,ice,25,30,0
333,iron-defense,NA,status,"The user hardens its body’s surface
like iron, sharply raising its
Defense stat.",Raises the user's Defense by two stages.,3,0,0,steel,NA,15,0
334,block,NA,status,"The user blocks the target’s way with arms
spread wide to prevent escape.","The target cannot switch out normally.  Ignores accuracy and evasion modifiers.  This effect ends when the user leaves the field.

The target may still escape by using baton pass, u turn, or a shed shell.

Both the user and the target pass on this effect with baton pass.",3,NA,0,normal,NA,5,0
335,howl,NA,status,"The user howls loudly to raise its spirit,
which raises its Attack stat.",Raises the user's Attack by one stage.,3,NA,0,normal,NA,40,0
336,dragon-claw,100,physical,"The user slashes the target with huge,
sharp claws.",Inflicts regular damage.,3,tm02,0,dragon,80,15,0
337,frenzy-plant,90,special,"The user slams the target with
an enormous tree.
The user can’t move on the next turn.","Inflicts regular damage.  User loses its next turn to ""recharge"", and cannot attack or switch out during that turn.",3,NA,0,grass,150,5,0
338,bulk-up,NA,status,"The user tenses its muscles to bulk up
its body, raising both its Attack and
Defense stats.",Raises the user's Attack and Defense by one stage each.,3,tm30,0,fighting,NA,20,0
339,bounce,85,physical,"The user bounces up high, then drops on
the target on the second turn. This may
also leave the target with paralysis.","Inflicts regular damage.  User bounces high into the air for one turn, becoming immune to attack, and hits on the second turn.  Has a 30% chance to paralyze the target.

During the immune turn, gust, hurricane, sky uppercut, smack down, thunder, and twister still hit the user normally.  gust and twister also have double power against the user.

The damage from hail and sandstorm still applies during the immune turn.

The user may be hit during its immune turn if under the effect of lock on, mind reader, or no guard.

This move cannot be used while gravity is in effect.

This move cannot be selected by sleep talk.",3,0,0,flying,85,5,0
340,mud-shot,95,special,"The user attacks by hurling a blob of mud
at the target.
This also lowers the target’s Speed stat.",Inflicts regular damage.  Has a 100% chance to lower the target's Speed by one stage.,3,0,0,ground,55,15,0
341,poison-tail,100,physical,"The user hits the target with its tail.
This may also poison the target.
Critical hits land more easily.",Inflicts regular damage.  User's critical hit rate is one level higher when using this move. Has a 10% chance to poison the target.,3,NA,1,poison,50,25,0
342,covet,100,physical,"The user endearingly approaches
the target, then steals the target’s
held item.","Inflicts regular damage.  If the target is holding an item and the user is not, the user will permanently take the item.  Damage is still inflicted if an item cannot be taken.

Pokémon with sticky hold or multitype are immune to the item theft effect.

The target cannot recover its item with recycle.

This move cannot be selected by assist or metronome.",3,NA,0,normal,60,25,0
343,volt-tackle,100,physical,"The user electrifies itself, then charges.
This also damages the user quite a lot.
This may leave the target with paralysis.",Inflicts regular damage.  User takes 1/3 the damage it inflicts in recoil.  Has a 10% chance to paralyze the target.,3,NA,0,electric,120,15,0
344,magical-leaf,NA,special,"The user scatters curious leaves
that chase the target.
This attack never misses.",Inflicts regular damage.  Ignores accuracy and evasion modifiers.,3,0,0,grass,60,20,0
345,water-sport,NA,status,"The user soaks itself with water.
This weakens Fire-type moves
for five turns.","fire moves inflict half damage, regardless of target.  If the user leaves the field, this effect ends.",3,NA,0,water,NA,15,0
346,calm-mind,NA,status,"The user quietly focuses its mind and
calms its spirit to raise its Sp. Atk and
Sp. Def stats.",Raises the user's Special Attack and Special Defense by one stage each.,3,tm33,0,psychic,NA,20,0
347,leaf-blade,100,physical,"The user handles a sharp leaf like a
sword and attacks by cutting its target.
Critical hits land more easily.",Inflicts regular damage.  User's critical hit rate is one level higher when using this move.,3,0,1,grass,90,15,0
348,dragon-dance,NA,status,"The user vigorously performs a mystic,
powerful dance that raises its Attack and
Speed stats.",Raises the user's Attack and Speed by one stage each.,3,0,0,dragon,NA,20,0
349,rock-blast,90,physical,"The user hurls hard rocks at the target.
Two to five rocks are launched in a row.","Inflicts regular damage.  Hits 2–5 times in one turn.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.",3,0,0,rock,25,10,0
350,shock-wave,NA,special,"The user strikes the target with a quick
jolt of electricity.
This attack never misses.",Inflicts regular damage.  Ignores accuracy and evasion modifiers.,3,tm34,0,electric,60,20,0
351,water-pulse,100,special,"The user attacks the target with
a pulsing blast of water.
This may also confuse the target.",Inflicts regular damage.  Has a 20% chance to confuse the target.,3,tm03,0,water,60,20,0
352,doom-desire,100,special,"Two turns after this move is used, the
user blasts the target with a
concentrated bundle of light.","Inflicts typeless regular damage at the end of the third turn, starting with this one.  This move cannot score a critical hit.  If the target switches out, its replacement will be hit instead.  Damage is calculated at the time this move is used; stat changes and switching out during the delay won't change the damage inflicted.  No move with this effect can be used against the same target again until after the end of the third turn.

This effect breaks through wonder guard.

If the target is protected by protect or detect on the turn this move is used, this move will fail.  However, the damage on the third turn will break through protection.

The damage is applied at the end of the turn, so it ignores endure and focus sash.

This move cannot be copied by mirror move.",3,NA,0,steel,140,5,0
353,psycho-boost,90,special,"The user attacks the target at full power.
The attack’s recoil harshly lowers the
user’s Sp. Atk stat.","Inflicts regular damage, then lowers the user's Special Attack by two stages.",3,NA,0,psychic,140,5,0
354,roost,NA,status,"The user lands and rests its body.
It restores the user’s HP by up to
half of its max HP.","Heals the user for half its max HP.  If the user is flying, its flying type is ignored until the end of this turn.",4,tm51,0,flying,NA,10,0
355,gravity,NA,status,"Gravity is intensified for five turns,
making moves involving flying unusable
and negating Levitate.","For five turns (including this one), all immunities to ground moves are disabled.  For the duration of this effect, the evasion of every Pokémon on the field is lowered by two stages.  Cancels the effects of bounce, fly, and sky drop.

Specifically, flying Pokémon and those with levitate or that have used magnet rise are no longer immune to ground attacks, arena trap, spikes, or toxic spikes.

bounce, fly, sky drop, high jump kick, jump kick, and splash cannot be used while this move is in effect.

*Bug*: If this move is used during a double or triple battle while Pokémon are under the effect of sky drop, Sky Drop's effect is not correctly canceled on its target, and it remains high in the air indefinitely.  As Sky Drop prevents the target from acting, the only way to subsequently remove it from the field is to faint it.",4,NA,0,psychic,NA,5,0
356,miracle-eye,NA,status,"Enables a Dark-type target to be hit by
Psychic-type attacks. This also enables
an evasive target to be hit.",Resets the target's evasion to normal and prevents any further boosting until the target leaves the field.  A dark Pokémon under this effect takes normal damage from psychic moves.  This move itself ignores accuracy and evasion modifiers.,4,NA,0,psychic,NA,40,0
357,wake-up-slap,100,physical,"This attack inflicts big damage on a
sleeping target. This also wakes the target
up, however.","Inflicts regular damage.  If the target is sleeping, this move has double power, and the target wakes up.",4,NA,0,fighting,70,10,0
358,hammer-arm,90,physical,"The user swings and hits with its strong
and heavy fist.
It lowers the user’s Speed, however.","Inflicts regular damage, then lowers the user's Speed by one stage.",4,NA,0,fighting,100,10,0
359,gyro-ball,100,physical,"The user tackles the target with a high-speed
spin. The slower the user compared to the
target, the greater the move’s power.","Inflicts regular damage.  Power increases with the target's current Speed compared to the user, given by `1 + 25 * target Speed / user Speed`, capped at 150.",4,tm74,0,steel,NA,5,0
360,healing-wish,NA,status,"The user faints. In return, the Pokémon
taking its place will have its HP restored
and status conditions cured.","User faints.  Its replacement's HP is fully restored, and any major status effect is removed.  If the replacement Pokémon is immediately fainted by a switch-in effect, the next replacement is healed by this move instead.",4,NA,0,psychic,NA,10,0
361,brine,100,special,"If the target’s HP is half or less,
this attack will hit with double
the power.","Inflicts regular damage.  If the target has less than half its max HP remaining, this move has double power.",4,tm55,0,water,65,10,0
362,natural-gift,100,physical,"The user draws power to attack by using
its held Berry.
The Berry determines the move’s type and power.","Inflicts regular damage.  Power and type are determined by the user's held berry.  The berry is consumed.  If the user is not holding a berry, this move will fail.",4,tm83,0,normal,NA,15,0
363,feint,100,physical,"An attack that hits a target using
Protect or Detect. This also lifts
the effects of those moves.","Inflicts regular damage.  Removes the effects of detect or protect from the target before hitting.

This move cannot be copied by mirror move, nor selected by assist or metronome.",4,NA,0,normal,30,10,2
364,pluck,100,physical,"The user pecks the target. If the target
is holding a Berry, the user eats it and
gains its effect.","Inflicts regular damage.  If the target is holding a berry, this move has double power, and the user takes the berry and uses it immediately.

If the target is holding a jaboca berry or rowap berry, the berry is still removed, but has no effect.

If this move is super effective and the target is holding a berry that can reduce this move's damage, it will do so, and will not be stolen.",4,tm88,0,flying,60,20,0
365,tailwind,NA,status,"The user whips up a turbulent whirlwind
that ups the Speed stat of the user and
its allies for four turns.","For the next three turns, all Pokémon on the user's side of the field have their original Speed doubled.  This effect remains if the user leaves the field.",4,NA,0,flying,NA,15,0
366,acupressure,NA,status,"The user applies pressure to stress
points, sharply boosting one of its or
its allies’ stats.","Raises one of the target's stats by two stages.  The raised stat is chosen at random from any stats that can be raised by two stages.  If no stat is eligible, this move will fail.

If the target has a substitute, this move will have no effect, even if the user is the target.

This move cannot be copied by mirror move.",4,NA,0,normal,NA,30,0
367,metal-burst,100,physical,"The user retaliates with much greater
power against the opponent
that last inflicted damage on it.","Targets the last opposing Pokémon to hit the user with a damaging move this turn.  Inflicts 1.5× the damage that move did to the user.  If there is no eligible target, this move will fail.  Type immunity applies, but other type effects are ignored.",4,NA,0,steel,NA,10,0
368,u-turn,100,physical,"After making its attack, the user
rushes back to switch places with
a party Pokémon in waiting.","Inflicts regular damage, then the user immediately switches out, and the trainer selects a replacement Pokémon from the party.  If the target faints from this attack, the user's trainer selects the new Pokémon to send out first.  If the user is the last Pokémon in its party that can battle, it will not switch out.

The user may be hit by pursuit when it switches out, if it has been targeted and pursuit has not yet been used.

This move may be used even if the user is under the effect of ingrain.  ingrain's effect will end.",4,tm89,0,bug,70,20,0
369,close-combat,100,physical,"The user fights the target up close
without guarding itself. This also lowers
the user’s Defense and Sp. Def stats.","Inflicts regular damage, then lowers the user's Defense and Special Defense by one stage each.",4,0,0,fighting,120,5,0
370,payback,100,physical,"The user stores power, then attacks.
If the user moves after the target,
this attack’s power will be doubled.","Inflicts regular damage.  If the target uses a move or switches out this turn before this move is used, this move has double power.",4,tm66,0,dark,50,10,0
371,assurance,100,physical,"If the target has already taken some
damage in the same turn, this attack’s
power is doubled.","Inflicts regular damage.  If the target takes damage this turn for any reason before this move is used, this move has double power.",4,0,0,dark,60,10,0
372,embargo,100,status,"This move prevents the target from
using its held item. Its Trainer is
also prevented from using items on it.","Target cannot use its held item for five turns.  If the target leaves the field, this effect ends.

If a Pokémon under this effect uses bug bite or pluck on a Pokémon holding a berry, the berry is destroyed but not used.  If a Pokémon under this effect uses fling, it will fail.

This effect is passed by baton pass.",4,tm63,0,dark,NA,15,0
373,fling,100,physical,"The user flings its held item at the target
to attack. This move’s power and effects
depend on the item.","Inflicts regular damage.  Power and type are determined by the user's held item.  The item is consumed.  If the user is not holding an item, or its item has no set type and power, this move will fail.

This move ignores sticky hold.

If the user is under the effect of embargo, this move will fail.",4,tm56,0,dark,NA,10,0
374,psycho-shift,100,status,"Using its psychic power of suggestion,
the user transfers its status conditions
to the target.","If the user has a major status effect and the target does not, the user's status is transferred to the target.",4,NA,0,psychic,NA,10,0
